"state"	"1930"	"1931"	"1932"	"1933"	"1934"	"1935"	"1936"	"1937"	"1938"	"1939"	"1940"	"1941"	"1942"	"1943"	"1944"	"1945"	"1946"	"1947"	"1948"	"1949"	"1950"	"1951"	"1952"	"1953"	"1954"	"1955"	"1956"	"1957"	"1958"	"1959"	"1960"	"1961"	"1962"	"1963"	"1964"	"1965"	"1966"	"1967"	"1968"	"1969"	"1970"	"1971"	"1972"	"1973"	"1974"	"1975"	"1976"	"1977"	"1978"	"1979"	"1980"	"1981"	"1982"	"1983"	"1984"	"1985"	"1986"	"1987"	"1988"	"1989"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"
"IDAHO"	447000	454000	459000	464000	473000	481000	495000	507000	513000	521000	522000	501000	478000	5e+05	529000	507000	509000	522000	551000	570000	590000	589000	587000	596000	6e+05	618000	628000	642000	646000	657000	671000	684000	692000	683000	680000	686000	689000	688000	695000	707000	713015	738753	763237	782074	807990	831982	856983	883469	910690	932627	943935	962204	973721	981869	990839	994051	990224	984997	985664	994416	11453316	11568964	11694184	11809579	11912585	12008437	12101997	12185715	12271847	12359020	12434161	12488445
"ILLINOIS"	7644000	7687000	7736000	7768000	7772000	7797000	7840000	7857000	7866000	7890000	7905000	7995000	8057000	7761000	7719000	7601000	8155000	8341000	8552000	8670000	8738000	8790000	8956000	9065000	9252000	9435000	9530000	9668000	9886000	9986000	10086000	10130000	10280000	10402000	10580000	10693000	10836000	10947000	10995000	11039000	11110285	11202397	11251948	11251367	11262145	11291743	11342853	11386316	11412561	11396837	11426518	11443458	11423412	11408818	11412132	11399806	11387257	11391178	11390183	11409782	5557798	5616388	5674547	5739019	5793526	5851459	5906013	5955267	5998880	6044969	6091866	6127760
"INDIANA"	3242000	3257000	3281000	3304000	3319000	3332000	3348000	3374000	3386000	3403000	3433000	3483000	3507000	3449000	3440000	3427000	3702000	3779000	3877000	3958000	3967000	4096000	4148000	4182000	4264000	4363000	4458000	4529000	4583000	4613000	4674000	4730000	4736000	4799000	4856000	4922000	4999000	5053000	5093000	5143000	5195392	5253396	5302435	5338277	5361890	5365766	5389088	5425638	5470214	5501174	5490224	5480435	5467922	5450395	5458322	5459211	5454108	5473012	5491735	5523693	2781018	2797613	2818401	2836972	2850746	2867373	2880000	2891119	2902872	2917634	2929067	2931997
"IOWA"	2475000	2482000	2489000	2495000	2510000	2524000	2509000	2498000	2494000	2520000	2537000	2491000	2439000	2334000	2301000	2308000	2467000	2509000	2543000	2578000	2625000	2617000	2626000	2629000	2626000	2679000	2703000	2716000	2708000	2729000	2756000	2756000	2750000	2747000	2746000	2742000	2762000	2793000	2803000	2805000	2825368	2851705	2860287	2863715	2867530	2880847	2903082	2913573	2918069	2915739	2913808	2907983	2888189	2870543	2858618	2829684	2791970	2767011	2768388	2770592	1012384	1041316	1071685	1108768	1145140	1177322	1203083	1228520	1252330	1275674	1299430	1319962
"KANSAS"	1883000	1881000	1883000	1877000	1868000	1872000	1869000	1856000	1842000	1824000	1788000	1765000	1760000	1796000	1779000	1731000	1805000	1853000	1892000	1925000	1916000	1950000	1977000	1994000	2042000	2093000	2119000	2128000	2142000	2160000	2183000	2215000	2231000	2217000	2209000	2206000	2200000	2197000	2216000	2236000	2249071	2246600	2256375	2265603	2269499	2280578	2301001	2320647	2335657	2350906	2363679	2384849	2401202	2415531	2424086	2427405	2432619	2445367	2461996	2472849	2481349	2498722	2532394	2556547	2580513	2601007	2614554	2635292	2660598	2678338	2693681	2702162
"KENTUCKY"	2623000	2652000	2676000	2698000	2722000	2748000	2768000	2784000	2800000	2825000	2859000	2824000	2797000	2693000	2631000	2597000	2761000	2803000	2817000	2849000	2936000	2941000	2920000	2903000	2902000	2910000	2898000	2928000	2961000	2999000	3041000	3054000	3079000	3096000	3129000	3140000	3147000	3172000	3195000	3198000	3220711	3298053	3335728	3371024	3416315	3467769	3529257	3573693	3609976	3641804	3660777	3670394	3683445	3694484	3695453	3694826	3687809	3683329	3679999	3677306	3694048	3722328	3765469	3812206	3849088	3887427	3919535	3952747	3985390	4018053	4049021	4068132
"LOUISIANA"	2105000	2124000	2155000	2178000	2202000	2228000	2246000	2257000	2285000	2334000	2370000	2484000	2546000	2565000	2508000	2429000	2556000	2579000	2596000	2634000	2697000	2769000	2842000	2866000	2883000	2946000	3032000	3115000	3155000	3208000	3260000	3287000	3345000	3377000	3446000	3496000	3550000	3581000	3603000	3619000	3644637	3710487	3761646	3788375	3820109	3886104	3950605	4014459	4068579	4137665	4205900	4283303	4352608	4395316	4400477	4408118	4406919	4344148	4288863	4252894	4221532	4253279	4293003	4316428	4347481	4378779	4398877	4421071	4440344	4460811	4471885	4477875
"MAINE"	8e+05	807000	815000	821000	829000	836000	840000	842000	843000	846000	849000	852000	839000	806000	801000	8e+05	832000	854000	878000	903000	917000	916000	915000	913000	927000	934000	938000	943000	944000	957000	975000	995000	994000	993000	993000	997000	999000	1004000	994000	992000	993722	1015390	1034292	1045655	1059040	1071995	1088412	1103578	1113566	1122563	1124660	1133033	1136684	1144772	1155635	1162936	1170126	1184574	1203840	1219961	6022639	6018470	6028709	6060569	6095241	6141445	6179756	6226058	6271838	6317345	6361104	6397634
"MARYLAND"	1636000	1657000	1678000	1694000	1710000	1729000	1745000	1754000	1766000	1793000	1839000	1913000	1998000	2089000	2118000	2096000	2214000	2248000	2271000	2329000	2355000	2441000	2500000	2567000	2685000	2742000	2811000	2873000	2982000	3066000	3113000	3176000	3263000	3386000	3492000	3600000	3695000	3757000	3815000	3868000	3923897	4018324	4073499	4097974	4118815	4139096	4150539	4169595	4183603	4191160	4216975	4261905	4282923	4313327	4365243	4413071	4486957	4565557	4657904	4727301	4799770	4867641	4923368	4971889	5023060	5070033	5111986	5157328	5204464	5254509	5311034	5374691
"MASSACHUSETTS"	4250000	4248000	4259000	4282000	4305000	4343000	4355000	4358000	4365000	4347000	4318000	4389000	4370000	4257000	4192000	4201000	4494000	4580000	4674000	4741000	4686000	4654000	4650000	4806000	4910000	4882000	4891000	4929000	5010000	5117000	5160000	5219000	5263000	5344000	5448000	5502000	5535000	5594000	5618000	5650000	5689170	5737580	5760302	5781172	5773548	5757756	5743672	5738199	5736469	5738404	5737037	5768685	5771222	5799407	5840773	5880733	5902678	5935204	5979982	6015478	1231719	1237081	1238508	1242302	1242662	1243480	1249060	1254774	1259127	1266808	1277072	1285692
"MICHIGAN"	4834000	4798000	4780000	4780000	4798000	4838000	4889000	4968000	5056000	5156000	5315000	5472000	5549000	5405000	5467000	5475000	5874000	6076000	6213000	6332000	6407000	6497000	6650000	6822000	7066000	7285000	7467000	7569000	7667000	7767000	7834000	7893000	7933000	8058000	8187000	8357000	8512000	8630000	8696000	8781000	8881826	8974186	9028944	9077956	9117507	9117668	9129205	9171110	9217761	9266268	9262078	9209287	9115198	9047754	9049452	9076293	9127775	9187481	9217998	9253295	9311319	9400446	9479065	9540114	9597737	9676211	9758645	9809051	9847942	9897116	9952450	9991120
"MINNESOTA"	2576000	2614000	2646000	2673000	2695000	2717000	2734000	2746000	2753000	2771000	2790000	2718000	2662000	2577000	2526000	2537000	2734000	2796000	2868000	2935000	2997000	3010000	3030000	3050000	3113000	3172000	3240000	3274000	3313000	3366000	3425000	3470000	3513000	3531000	3558000	3592000	3617000	3659000	3703000	3758000	3806103	3853486	3869747	3889332	3903925	3932515	3964680	3989364	4015341	4050316	4075970	4111728	4131450	4141456	4157706	4184302	4205212	4235136	4296166	4338057	4389857	4440859	4495572	4555954	4610355	4660180	4712827	4763390	4813412	4873481	4933692	4982796
"MISSISSIPPI"	2006000	1994000	2004000	2031000	2050000	2061000	2072000	2086000	2127000	2168000	2176000	2184000	2210000	2280000	2167000	2090000	2064000	2107000	2076000	2085000	2176000	2163000	2152000	2105000	2064000	2060000	2086000	2088000	2086000	2138000	2182000	2206000	2243000	2244000	2241000	2246000	2245000	2228000	2219000	2220000	2216994	2265432	2307117	2349546	2378268	2399449	2429756	2459201	2487816	2507069	2520638	2539036	2556777	2567717	2578051	2588102	2593597	2588545	2580352	2574269	5128880	5170800	5217101	5271175	5324497	5378247	5431553	5481193	5521765	5561948	5607285	5641142
"MISSOURI"	3646000	3711000	3746000	3773000	3784000	3798000	3801000	3794000	3781000	3783000	3786000	3811000	3829000	3705000	3560000	3516000	3746000	3845000	3844000	3882000	3964000	4015000	3972000	4020000	4066000	4134000	4163000	4189000	4186000	4258000	4326000	4349000	4357000	4392000	4442000	4467000	4523000	4539000	4568000	4640000	4677623	4725764	4758780	4782645	4795930	4808308	4839029	4863173	4889399	4912430	4916686	4932064	4929451	4943733	4975278	5000268	5023068	5056696	5081736	5095830	2578897	2598733	2623734	2655100	2688992	2722659	2748085	2777004	2804834	2828408	2848353	2852994
"MONTANA"	539000	540000	540000	541000	545000	550000	554000	554000	552000	555000	558000	543000	518000	485000	469000	477000	514000	531000	542000	569000	593000	596000	602000	616000	624000	636000	656000	667000	666000	669000	679000	696000	698000	703000	706000	706000	707000	701000	7e+05	694000	694409	710814	718732	726798	736419	748208	757317	769953	782317	787305	786690	795328	803986	814031	820905	822320	813739	805063	800202	799636	800204	809680	825770	844761	861306	876553	886254	889865	892431	897507	903773	906961
"NEBRASKA"	1380000	1384000	1386000	1385000	1382000	1375000	1358000	1339000	1326000	1318000	1316000	1272000	1239000	1241000	1216000	1211000	1256000	1265000	1265000	1302000	1327000	1316000	1311000	1318000	1340000	1374000	1397000	1394000	1383000	1397000	1417000	1446000	1464000	1476000	1482000	1471000	1456000	1457000	1467000	1474000	1485333	1504604	1519013	1529567	1539191	1543117	1550911	1556842	1563884	1567344	1569825	1578515	1581780	1584293	1588639	1584664	1574333	1566547	1571477	1574864	1112384	1109929	1117784	1129458	1142560	1157561	1174719	1189425	1205940	1222014	1239882	1255517
"NEVADA"	92000	94000	96000	96000	98000	1e+05	101000	103000	105000	107000	113000	120000	137000	151000	153000	149000	143000	149000	156000	157000	162000	168000	181000	195000	213000	237000	250000	260000	269000	279000	291000	315000	352000	397000	426000	444000	446000	449000	464000	480000	488738	520018	546789	568991	596822	619972	646975	678333	719436	765367	800493	847655	881537	901977	924922	951030	980613	1023376	1075022	1137382	6664016	6784280	6897214	7042818	7187398	7344674	7500670	7656825	7809121	7949361	8081614	8210122
"NEW HAMPSHIRE"	466000	470000	474000	477000	480000	481000	481000	481000	485000	490000	492000	490000	481000	462000	456000	459000	494000	507000	520000	533000	532000	529000	535000	547000	554000	557000	566000	572000	581000	596000	609000	618000	632000	649000	663000	676000	681000	697000	709000	724000	737681	761851	781107	800951	815914	828555	845248	869763	891520	909074	920610	936621	947719	958134	976864	996753	1025053	1054289	1082577	1104522	7762963	7814676	7880508	7948915	8014306	8083242	8149596	8218808	8287418	8359592	8430621	8492671
"NEW JERSEY"	4068000	4120000	4120000	4107000	4089000	4085000	4084000	4088000	4100000	4129000	4175000	4254000	4297000	4226000	4158000	4108000	4492000	4618000	4774000	4889000	4872000	5006000	5125000	5229000	5360000	5502000	5615000	5737000	5890000	6015000	6103000	6265000	6376000	6531000	6660000	6767000	6851000	6928000	7005000	7095000	7171112	7281107	7335042	7333083	7332411	7337765	7339745	7337169	7350804	7366512	7364823	7407472	7430968	7467785	7515473	7565528	7622159	7670742	7712333	7726089	1521574	1555305	1595442	1636453	1682398	1720394	1752326	1774839	1793484	1808082	1821204	1831690
"NEW MEXICO"	427000	436000	441000	449000	461000	475000	489000	503000	513000	523000	531000	506000	502000	534000	527000	537000	561000	582000	604000	644000	689000	717000	735000	756000	763000	785000	806000	847000	886000	919000	954000	965000	979000	989000	1006000	1012000	1007000	1e+06	994000	1011000	1017055	1053737	1078697	1105529	1131309	1159944	1189295	1215720	1238034	1284722	1302894	1332748	1363823	1394361	1416717	1438361	1462729	1478520	1490337	1503901	18020784	18122510	18246653	18374954	18459470	18524104	18588460	18656546	18755906	18882725	19001780	19082838
"NEW YORK"	12647000	12848000	13001000	13126000	13253000	13375000	13481000	13511000	13512000	13523000	13456000	13267000	13002000	12807000	12628000	12495000	13398000	13982000	14497000	14892000	14865000	14890000	15192000	15527000	15814000	15966000	16112000	16374000	16601000	16685000	16838000	17061000	17301000	17461000	17589000	17734000	17843000	17935000	18051000	18105000	18241391	18357982	18339400	18177063	18049775	18003485	17940541	17812602	17680589	17583838	17558072	17567734	17589738	17686905	17745684	17791672	17833419	17868848	17941309	17983086	637685	635753	638223	641216	644804	647832	650382	649716	647532	644259	642023	639062
"NORTH CAROLINA"	3167000	3184000	3227000	3268000	3304000	3323000	3346000	3385000	3440000	3514000	3574000	3589000	3569000	3654000	3560000	3533000	3706000	3769000	3837000	3911000	4068000	4120000	4109000	4120000	4131000	4242000	4309000	4368000	4376000	4458000	4573000	4663000	4707000	4742000	4802000	4863000	4896000	4952000	5004000	5031000	5084411	5203531	5301150	5389852	5470911	5547188	5607964	5685607	5759492	5823491	5881766	5956653	6019101	6077056	6164006	6253954	6321578	6403700	6480594	6565459	1581660	1595919	1611687	1625590	1639041	1656992	1673740	1686418	1695816	1704764	1713820	1719836
