"state","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979"
"ALASKA",302583,315510,324464,330543,341063,376170,400969,403436,404766,402753
"ALABAMA",3444354,3497076,3539400,3579780,3626499,3678814,3735139,3780403,3831836,3866248
"ARKANSAS",1923322,1972312,2018638,2059256,2101403,2159526,2170161,2209010,2243127,2271333
"ARIZONA",1775399,1895814,2008291,2124438,2223196,2284847,2346157,2425197,2515316,2635571
"CALIFORNIA",19971069,20345939,20585469,20868728,21173865,21537849,21935909,22352396,22835958,23256880
"COLORADO",2209596,2303524,2404619,2495868,2541406,2586192,2632306,2696140,2766748,2849234
"CONNECTICUT",3032217,3060938,3068699,3067814,3074047,3082500,3083335,3085722,3091627,3095917
"DISTRICT OF COLUMBIA",756668,749781,742241,731488,717947,706871,692295,677228,665052,650016
"DELAWARE",548104,564708,572913,577759,581418,586589,590166,591829,594776,594984
"FLORIDA",6791418,7158304,7511463,7913696,8298762,8518422,8667379,8856183,9102032,9426159
"GEORGIA",4587930,4711550,4809490,4910374,4999419,5064075,5132812,5219697,5295751,5401384
"HAWAII",769913,801644,828331,851595,867978,886160,904191,918259,931584,953306
"IOWA",2825368,2851705,2860287,2863715,2867530,2880847,2903082,2913573,2918069,2915739
"IDAHO",713015,738753,763237,782074,807990,831982,856983,883469,910690,932627
"ILLINOIS",11110285,11202397,11251948,11251367,11262145,11291743,11342853,11386316,11412561,11396837
"INDIANA",5195392,5253396,5302435,5338277,5361890,5365766,5389088,5425638,5470214,5501174
"KANSAS",2249071,2246600,2256375,2265603,2269499,2280578,2301001,2320647,2335657,2350906
"KENTUCKY",3220711,3298053,3335728,3371024,3416315,3467769,3529257,3573693,3609976,3641804
"LOUISIANA",3644637,3710487,3761646,3788375,3820109,3886104,3950605,4014459,4068579,4137665
"MASSACHUSETTS",5689170,5737580,5760302,5781172,5773548,5757756,5743672,5738199,5736469,5738404
"MARYLAND",3923897,4018324,4073499,4097974,4118815,4139096,4150539,4169595,4183603,4191160
"MAINE",993722,1015390,1034292,1045655,1059040,1071995,1088412,1103578,1113566,1122563
"MICHIGAN",8881826,8974186,9028944,9077956,9117507,9117668,9129205,9171110,9217761,9266268
"MINNESOTA",3806103,3853486,3869747,3889332,3903925,3932515,3964680,3989364,4015341,4050316
"MISSOURI",4677623,4725764,4758780,4782645,4795930,4808308,4839029,4863173,4889399,4912430
"MISSISSIPPI",2216994,2265432,2307117,2349546,2378268,2399449,2429756,2459201,2487816,2507069
"MONTANA",694409,710814,718732,726798,736419,748208,757317,769953,782317,787305
"NORTH CAROLINA",5084411,5203531,5301150,5389852,5470911,5547188,5607964,5685607,5759492,5823491
"NORTH DAKOTA",617792,626760,631119,632675,634559,638886,645797,649769,651301,652896
"NEBRASKA",1485333,1504604,1519013,1529567,1539191,1543117,1550911,1556842,1563884,1567344
"NEW HAMPSHIRE",737681,761851,781107,800951,815914,828555,845248,869763,891520,909074
"NEW JERSEY",7171112,7281107,7335042,7333083,7332411,7337765,7339745,7337169,7350804,7366512
"NEW MEXICO",1017055,1053737,1078697,1105529,1131309,1159944,1189295,1215720,1238034,1284722
"NEVADA",488738,520018,546789,568991,596822,619972,646975,678333,719436,765367
"NEW YORK",18241391,18357982,18339400,18177063,18049775,18003485,17940541,17812602,17680589,17583838
"OHIO",10657423,10734818,10746993,10767314,10765759,10770425,10752662,10771394,10795581,10798298
"OKLAHOMA",2559463,2618601,2658646,2695931,2734768,2774683,2826815,2870014,2917336,2975310
"OREGON",2091533,2151022,2197297,2241932,2285013,2329661,2378262,2446673,2518298,2588012
"PENNSYLVANIA",11800766,11886400,11908233,11890527,11870884,11906095,11897378,11893591,11879396,11887975
"RHODE ISLAND",949723,963107,974790,975738,950615,942788,946089,950230,951816,950382
"SOUTH CAROLINA",2590713,2662269,2719197,2776605,2844749,2902028,2943657,2991681,3044364,3090267
"SOUTH DAKOTA",666257,671297,677234,678715,679585,681042,686390,688480,688580,688335
"TENNESSEE",3926018,4013608,4094611,4147401,4213509,4275566,4346928,4422921,4486314,4560473
"TEXAS",11198655,11509848,11759148,12019543,12268629,12568843,12904089,13193050,13500429,13888371
"UTAH",1059273,1101192,1135449,1170040,1200471,1236030,1274928,1319512,1367510,1420238
"VIRGINIA",4651448,4750838,4824472,4901292,4971069,5047395,5121863,5193112,5270240,5307945
"VERMONT",444732,454318,463143,468430,473002,479713,484928,491931,498109,505372
"WASHINGTON",3413244,3447553,3447885,3478782,3549946,3621339,3693610,3776050,3889073,4017632
"WISCONSIN",4417821,4462155,4502412,4524244,4545782,4578986,4595904,4626514,4646108,4682811
"WEST VIRGINIA",1744237,1770657,1797648,1806360,1815447,1842250,1879503,1908088,1923395,1942146
"WYOMING",332416,340285,347345,354061,365501,381695,396952,413354,432880,454378
