"state","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"ALASKA",229000,238000,246000,256000,263000,271000,271000,278000,285000,296000
"ALABAMA",3274000,3316000,3323000,3358000,3395000,3443000,3464000,3458000,3446000,3440000
"ARKANSAS",1789000,1806000,1853000,1875000,1897000,1894000,1899000,1901000,1902000,1913000
"ARIZONA",1321000,1407000,1471000,1521000,1556000,1584000,1614000,1646000,1682000,1737000
"CALIFORNIA",15870000,16497000,17072000,17668000,18151000,18585000,18858000,19176000,19394000,19711000
"COLORADO",1769000,1844000,1899000,1936000,1970000,1985000,2007000,2053000,2120000,2166000
"CONNECTICUT",2544000,2586000,2647000,2727000,2798000,2857000,2903000,2935000,2964000,3e+06
"DISTRICT OF COLUMBIA",765000,778000,788000,798000,798000,797000,791000,791000,778000,762000
"DELAWARE",449000,461000,469000,483000,497000,507000,516000,525000,534000,540000
"FLORIDA",5004000,5243000,5458000,5628000,5781000,5954000,6104000,6242000,6433000,6641000
"GEORGIA",3956000,4015000,4086000,4172000,4258000,4332000,4379000,4408000,4482000,4551000
"HAWAII",642000,659000,684000,682000,7e+05,704000,710000,723000,734000,750000
"IOWA",2756000,2756000,2750000,2747000,2746000,2742000,2762000,2793000,2803000,2805000
"IDAHO",671000,684000,692000,683000,680000,686000,689000,688000,695000,707000
"ILLINOIS",10086000,10130000,10280000,10402000,10580000,10693000,10836000,10947000,10995000,11039000
"INDIANA",4674000,4730000,4736000,4799000,4856000,4922000,4999000,5053000,5093000,5143000
"KANSAS",2183000,2215000,2231000,2217000,2209000,2206000,2200000,2197000,2216000,2236000
"KENTUCKY",3041000,3054000,3079000,3096000,3129000,3140000,3147000,3172000,3195000,3198000
"LOUISIANA",3260000,3287000,3345000,3377000,3446000,3496000,3550000,3581000,3603000,3619000
"MASSACHUSETTS",5160000,5219000,5263000,5344000,5448000,5502000,5535000,5594000,5618000,5650000
"MARYLAND",3113000,3176000,3263000,3386000,3492000,3600000,3695000,3757000,3815000,3868000
"MAINE",975000,995000,994000,993000,993000,997000,999000,1004000,994000,992000
"MICHIGAN",7834000,7893000,7933000,8058000,8187000,8357000,8512000,8630000,8696000,8781000
"MINNESOTA",3425000,3470000,3513000,3531000,3558000,3592000,3617000,3659000,3703000,3758000
"MISSOURI",4326000,4349000,4357000,4392000,4442000,4467000,4523000,4539000,4568000,4640000
"MISSISSIPPI",2182000,2206000,2243000,2244000,2241000,2246000,2245000,2228000,2219000,2220000
"MONTANA",679000,696000,698000,703000,706000,706000,707000,701000,7e+05,694000
"NORTH CAROLINA",4573000,4663000,4707000,4742000,4802000,4863000,4896000,4952000,5004000,5031000
"NORTH DAKOTA",634000,641000,637000,644000,649000,649000,647000,626000,621000,621000
"NEBRASKA",1417000,1446000,1464000,1476000,1482000,1471000,1456000,1457000,1467000,1474000
"NEW HAMPSHIRE",609000,618000,632000,649000,663000,676000,681000,697000,709000,724000
"NEW JERSEY",6103000,6265000,6376000,6531000,6660000,6767000,6851000,6928000,7005000,7095000
"NEW MEXICO",954000,965000,979000,989000,1006000,1012000,1007000,1e+06,994000,1011000
"NEVADA",291000,315000,352000,397000,426000,444000,446000,449000,464000,480000
"NEW YORK",16838000,17061000,17301000,17461000,17589000,17734000,17843000,17935000,18051000,18105000
"OHIO",9734000,9854000,9929000,9986000,10080000,10201000,10330000,10414000,10516000,10563000
"OKLAHOMA",2336000,2380000,2427000,2439000,2446000,2440000,2454000,2489000,2503000,2535000
"OREGON",1772000,1787000,1818000,1853000,1888000,1937000,1969000,1979000,2004000,2062000
"PENNSYLVANIA",11329000,11392000,11355000,11424000,11519000,11620000,11664000,11681000,11741000,11741000
"RHODE ISLAND",855000,858000,871000,876000,885000,893000,899000,909000,922000,932000
"SOUTH CAROLINA",2392000,2409000,2423000,2460000,2475000,2494000,2520000,2533000,2559000,2570000
"SOUTH DAKOTA",683000,693000,705000,708000,701000,692000,683000,671000,669000,668000
"TENNESSEE",3575000,3622000,3673000,3718000,3771000,3798000,3822000,3859000,3878000,3897000
"TEXAS",9624000,9820000,10053000,10159000,10270000,10378000,10492000,10599000,10819000,11045000
"UTAH",9e+05,936000,958000,974000,978000,994000,1009000,1019000,1029000,1047000
"VIRGINIA",3986000,4095000,4180000,4276000,4357000,4411000,4456000,4508000,4558000,4614000
"VERMONT",389000,390000,393000,397000,399000,404000,413000,423000,430000,437000
"WASHINGTON",2855000,2882000,2942000,2955000,2961000,2967000,3057000,3174000,3270000,3343000
"WISCONSIN",3962000,4009000,4049000,4112000,4165000,4232000,4274000,4303000,4345000,4378000
"WEST VIRGINIA",1853000,1828000,1809000,1796000,1797000,1786000,1775000,1769000,1763000,1746000
"WYOMING",331000,337000,333000,336000,339000,332000,323000,322000,324000,329000
