"state"	"variable"	"value"
"NEW JERSEY"	"1932"	373.956310679612
"NEW MEXICO"	"1932"	271.8820861678
"NEW YORK"	"1932"	465.071917544804
"NORTH CAROLINA"	"1932"	423.086458010536
"NORTH DAKOTA"	"1932"	318.047337278107
"OHIO"	"1932"	539.347923179991
"OKLAHOMA"	"1932"	43.1913116123642
"OREGON"	"1932"	514.197530864197
"PENNSYLVANIA"	"1932"	470.678000819336
"RHODE ISLAND"	"1932"	1472.67355982275
"SOUTH CAROLINA"	"1932"	182.608695652174
"SOUTH DAKOTA"	"1932"	96.3872832369942
"TENNESSEE"	"1932"	68.9782368129841
"TEXAS"	"1932"	76.5643348431471
"UTAH"	"1932"	13.926499032882
"VERMONT"	"1932"	1146.08938547486
"VIRGINIA"	"1932"	53.3849918433932
"WASHINGTON"	"1932"	631.881313131313
"WEST VIRGINIA"	"1932"	599.65655409273
"WISCONSIN"	"1932"	935.286329030122
"WYOMING"	"1932"	242.173913043478
"ALABAMA"	"1933"	65.2010522360015
"ARIZONA"	"1933"	296.009389671362
"ARKANSAS"	"1933"	293.311758360302
"CALIFORNIA"	"1933"	445.262451786014
"COLORADO"	"1933"	27.7310924369748
"CONNECTICUT"	"1933"	330.694275274056
"DELAWARE"	"1933"	82.6612903225806
"DISTRICT OF COLUMBIA"	"1933"	100.756143667297
"FLORIDA"	"1933"	63.9819587628866
"GEORGIA"	"1933"	156.881355932203
"IDAHO"	"1933"	193.534482758621
"ILLINOIS"	"1933"	155.664263645726
"INDIANA"	"1933"	108.050847457627
"IOWA"	"1933"	33.0260521042084
"KANSAS"	"1933"	335.055940330314
"KENTUCKY"	"1933"	57.8206078576723
"LOUISIANA"	"1933"	42.7456382001837
"MAINE"	"1933"	13.3982947624848
"MARYLAND"	"1933"	41.1452184179457
"MASSACHUSETTS"	"1933"	351.868285847735
"MICHIGAN"	"1933"	462.112970711297
"MINNESOTA"	"1933"	752.338196782641
"MISSISSIPPI"	"1933"	NA
"MISSOURI"	"1933"	152.955208057249
"MONTANA"	"1933"	419.593345656192
"NEBRASKA"	"1933"	117.328519855596
"NEVADA"	"1933"	NA
"NEW HAMPSHIRE"	"1933"	218.448637316562
"NEW JERSEY"	"1933"	726.929632335038
"NEW MEXICO"	"1933"	148.775055679287
"NEW YORK"	"1933"	548.963888465641
"NORTH CAROLINA"	"1933"	495.62423500612
"NORTH DAKOTA"	"1933"	373.590504451039
"OHIO"	"1933"	233.694362017804
"OKLAHOMA"	"1933"	101.88127090301
"OREGON"	"1933"	230.368098159509
"PENNSYLVANIA"	"1933"	336.385936222404
"RHODE ISLAND"	"1933"	9.33333333333333
"SOUTH CAROLINA"	"1933"	360.673515981735
"SOUTH DAKOTA"	"1933"	299.130434782609
"TENNESSEE"	"1933"	133.491081179469
"TEXAS"	"1933"	361.390089790489
"UTAH"	"1933"	402.115384615385
"VERMONT"	"1933"	312.605042016807
"VIRGINIA"	"1933"	351.869918699187
"WASHINGTON"	"1933"	155.841708542714
"WEST VIRGINIA"	"1933"	303.367579908676
"WISCONSIN"	"1933"	317.467105263158
"WYOMING"	"1933"	249.130434782609
"ALABAMA"	"1934"	590.279329608938
"ARIZONA"	"1934"	238.785046728972
"ARKANSAS"	"1934"	384.558040468584
"CALIFORNIA"	"1934"	423.267326732673
"COLORADO"	"1934"	1204.27906976744
"CONNECTICUT"	"1934"	282.363636363636
"DELAWARE"	"1934"	1225.2
"DISTRICT OF COLUMBIA"	"1934"	1137.5
"FLORIDA"	"1934"	505.678233438486
"GEORGIA"	"1934"	774.797570850202
"IDAHO"	"1934"	252.431289640592
"ILLINOIS"	"1934"	574.832732887288
"INDIANA"	"1934"	631.003314251281
"IOWA"	"1934"	346.374501992032
"KANSAS"	"1934"	538.865096359743
"KENTUCKY"	"1934"	422.52020573108
"LOUISIANA"	"1934"	220.980926430518
