"","BusStopCode","RoadName","Description","Latitude","Longitude"
"2570","49159","Kranji Way","Econ Group",1.43702428430753,103.74581499117
"2571","49169","Kranji Way","Tong Seng Concrete Ltd",1.4356326647634,103.748550656866
"2572","49171","Kranji Way","Seow Wee Trading",1.43471927034855,103.750866316631
"2573","49179","Kranji Way","Opp Seow Wee Trading",1.43467967585537,103.750533248279
"2574","49181","Kranji Loop","Dapolite Ind",1.43689816677634,103.754066396238
"2575","49189","Kranji Loop","Aft Kranji Rd",1.43646977071566,103.753734543128
"2576","49199","Kranji Way","Kranji Reservoir Pk B",1.4383674275063,103.735784472631
"2577","49209","Neo Tiew Cres","Sg Buloh Wetland Reserve",1.44513667520796,103.729838128481
"2578","49211","Kranji Way","PUB Quarter",1.43868741216241,103.735095971311
"2579","49219","Kranji Way","Opp PUB Quarter",1.43853758245996,103.735623009354
"2580","49229","Neo Tiew Cres","Long Kuan Hung Crocodile Farm",1.44030777799976,103.732101667008
"2581","49239","Neo Tiew Cres","Opp Nyee Phoe Group",1.44057893181931,103.727927465006
"2582","49249","Neo Tiew Cres","Dragon Fish Ind",1.43705520733335,103.725467760994
"2583","50011","Kg Java Rd","Opp Parish Of Christ Ch",1.31181999999518,103.847197778017
"2584","50019","Keng Lee Rd","Parish Of Christ Ch",1.31194891032358,103.847638561741
"2585","50021","Thomson Rd","United Sq",1.3173533543911,103.844217009222
"2586","50029","Thomson Rd","Opp United Sq",1.31647941614673,103.844842819636
"2587","50031","Thomson Rd","Opp Novena Ch",1.32127307292791,103.841771723534
"2588","50037","Thomson Rd","Novena Ch",1.32109968376279,103.842243048734
"2589","50038","Thomson Rd","Novena Stn",1.31962671001555,103.843438625367
"2590","50041","Thomson Rd","Novena Lodge",1.32362333324914,103.841615456703
"2591","50049","Thomson Rd","Opp Novena Lodge",1.32354108650178,103.841893268893
"2592","50051","Thomson Rd","Thomson Med Ctr",1.3256128334349,103.841861486771
"2593","50059","Thomson Rd","Opp Thomson Med Ctr",1.32489453398384,103.842117444213
"2594","50061","Newton Rd","Opp Hotel Royal",1.31743500021924,103.841437899168
"2595","50069","Newton Rd","Hotel Royal",1.31702163080967,103.841647762893
"2596","50071","Norfolk Rd","Bef Carlisle Rd",1.31572306955077,103.847075048873
"2597","50079","Norfolk Rd","Opp Carlisle Rd",1.31583941661931,103.846933725867
