"COUNTY","T_PRES","T_ITEM","PERIOD","POP","D_PRES","D_ITEM"
"NORTHAMPTONSHIRE",139471,5789,201511,723000,193,8
"NORTHUMBERLAND",88272,4273,201511,315300,280,14
"NOTTINGHAMSHIRE",134774,5049,201511,1124700,120,4
"OXFORDSHIRE",99915,4008,201511,677800,147,6
"RUTLAND",1252,57,201511,38000,33,2
"SHROPSHIRE",119556,4189,201511,482500,248,9
"SOMERSET",230983,9056,201511,940200,246,10
"SOUTH YORKSHIRE",397775,16731,201511,1374700,289,12
"STAFFORDSHIRE",248677,9609,201511,1114200,223,9
"SUFFOLK",245504,9213,201511,741900,331,12
"SURREY",346586,13463,201511,1168800,297,12
"TYNE AND WEAR",343907,19035,201511,1122200,306,17
"WARWICKSHIRE",93465,3553,201511,554000,169,6
"WEST MIDLANDS",329377,12756,201511,2833600,116,5
"WEST SUSSEX",222081,8213,201511,836300,266,10
"WEST YORKSHIRE",444532,19866,201511,2281700,195,9
"WILTSHIRE",161273,6585,201511,703300,229,9
"WORCESTERSHIRE",99371,4029,201511,578600,172,7
"BEDFORDSHIRE",116568,4455,201512,655000,178,7
"BERKSHIRE",211875,8166,201512,890600,238,9
"BRISTOL",61598,2548,201512,449300,137,6
"BUCKINGHAMSHIRE",95055,3341,201512,790200,120,4
"CAMBRIDGESHIRE",175005,7343,201512,841200,208,9
"CHESHIRE",467387,19301,201512,1043500,448,18
"CORNWALL",183798,7548,201512,551700,333,14
"CUMBRIA",213374,8711,201512,498000,428,17
"DERBYSHIRE",257000,9757,201512,1036600,248,9
"DEVON",414288,17050,201512,1169200,354,15
"DORSET",201283,7062,201512,765700,263,9
"DURHAM",362605,17893,201512,855900,424,21
"EAST RIDING OF YORKSHIRE",52139,2049,201512,595700,88,3
"EAST SUSSEX",283390,11852,201512,829300,342,14
"ESSEX",487647,20074,201512,1787000,273,11
"GLOUCESTERSHIRE",144304,6224,201512,891800,162,7
"GREATER MANCHESTER",228345,9338,201512,2756200,83,3
"HAMPSHIRE",562155,20300,201512,1814300,310,11
"HEREFORDSHIRE",45197,1777,201512,188100,240,9
"HERTFORDSHIRE",228096,9179,201512,1166300,196,8
"ISLE OF WIGHT",43424,1600,201512,139400,312,11
"KENT",516739,19585,201512,1801200,287,11
"LANCASHIRE",788413,31549,201512,1478100,533,21
"LEICESTERSHIRE",183157,7180,201512,1017900,180,7
"LINCOLNSHIRE",287579,13271,201512,1066100,270,12
"LONDON",961280,40184,201512,8665000,111,5
"MERSEYSIDE",344326,14440,201512,1398000,246,10
"NORFOLK",298156,13011,201512,885000,337,15
"NORTH YORKSHIRE",288811,12008,201512,1140400,253,11
"NORTHAMPTONSHIRE",155534,6471,201512,723000,215,9
"NORTHUMBERLAND",96873,4707,201512,315300,307,15
"NOTTINGHAMSHIRE",150526,5675,201512,1124700,134,5
"OXFORDSHIRE",112451,4286,201512,677800,166,6
"RUTLAND",1446,66,201512,38000,38,2
"SHROPSHIRE",133093,4738,201512,482500,276,10
"SOMERSET",258938,10136,201512,940200,275,11
"SOUTH YORKSHIRE",456471,19065,201512,1374700,332,14
"STAFFORDSHIRE",280540,10881,201512,1114200,252,10
"SUFFOLK",270846,10086,201512,741900,365,14
"SURREY",389873,15007,201512,1168800,334,13
"TYNE AND WEAR",385488,21260,201512,1122200,344,19
"WARWICKSHIRE",104359,3946,201512,554000,188,7
"WEST MIDLANDS",361621,13980,201512,2833600,128,5
"WEST SUSSEX",249166,9200,201512,836300,298,11
"WEST YORKSHIRE",485770,21684,201512,2281700,213,10
"WILTSHIRE",187233,7606,201512,703300,266,11
"WORCESTERSHIRE",111954,4453,201512,578600,193,8
