"COUNTY","T_PRES","T_ITEM","PERIOD","POP","D_PRES","D_ITEM"
"ISLE OF WIGHT",40205,1437,201503,139400,288,10
"KENT",464801,18030,201503,1801200,258,10
"LANCASHIRE",698015,28289,201503,1478100,472,19
"LEICESTERSHIRE",150626,5956,201503,1017900,148,6
"LINCOLNSHIRE",260945,11975,201503,1066100,245,11
"LONDON",877933,35892,201503,8665000,101,4
"MERSEYSIDE",299192,12287,201503,1398000,214,9
"NORFOLK",243667,10468,201503,885000,275,12
"NORTH YORKSHIRE",253679,10209,201503,1140400,222,9
"NORTHAMPTONSHIRE",140616,5875,201503,723000,194,8
"NORTHUMBERLAND",90313,4347,201503,315300,286,14
"NOTTINGHAMSHIRE",126235,4729,201503,1124700,112,4
"OXFORDSHIRE",97574,3724,201503,677800,144,5
"RUTLAND",1316,60,201503,38000,35,2
"SHROPSHIRE",116311,4156,201503,482500,241,9
"SOMERSET",229249,8943,201503,940200,244,10
"SOUTH YORKSHIRE",362432,14805,201503,1374700,264,11
"STAFFORDSHIRE",244285,9485,201503,1114200,219,9
"SUFFOLK",235548,8749,201503,741900,317,12
"SURREY",337353,12960,201503,1168800,289,11
"TYNE AND WEAR",340783,18476,201503,1122200,304,16
"WARWICKSHIRE",89125,3427,201503,554000,161,6
"WEST MIDLANDS",317450,12287,201503,2833600,112,4
"WEST SUSSEX",216258,7907,201503,836300,259,9
"WEST YORKSHIRE",431093,19222,201503,2281700,189,8
"WILTSHIRE",161756,6574,201503,703300,230,9
"WORCESTERSHIRE",101055,4168,201503,578600,175,7
"BEDFORDSHIRE",98423,3837,201504,655000,150,6
"BERKSHIRE",180510,6891,201504,890600,203,8
"BRISTOL",53499,2231,201504,449300,119,5
"BUCKINGHAMSHIRE",76372,2729,201504,790200,97,3
"CAMBRIDGESHIRE",135745,5688,201504,841200,161,7
"CHESHIRE",397997,16250,201504,1043500,381,16
"CORNWALL",156939,6591,201504,551700,284,12
"CUMBRIA",188453,7704,201504,498000,378,15
"DERBYSHIRE",215769,8332,201504,1036600,208,8
"DEVON",339717,13902,201504,1169200,291,12
"DORSET",170231,6089,201504,765700,222,8
"DURHAM",313826,15331,201504,855900,367,18
"EAST RIDING OF YORKSHIRE",44118,1712,201504,595700,74,3
"EAST SUSSEX",247307,10271,201504,829300,298,12
"ESSEX",430906,17740,201504,1787000,241,10
"GLOUCESTERSHIRE",124789,5502,201504,891800,140,6
"GREATER MANCHESTER",200216,8076,201504,2756200,73,3
"HAMPSHIRE",477272,17320,201504,1814300,263,10
"HEREFORDSHIRE",37462,1474,201504,188100,199,8
"HERTFORDSHIRE",197720,8012,201504,1166300,170,7
"ISLE OF WIGHT",33032,1243,201504,139400,237,9
"KENT",450099,17352,201504,1801200,250,10
"LANCASHIRE",679232,27461,201504,1478100,460,19
"LEICESTERSHIRE",148761,5943,201504,1017900,146,6
"LINCOLNSHIRE",256491,11792,201504,1066100,241,11
"LONDON",852445,35178,201504,8665000,98,4
"MERSEYSIDE",294436,12139,201504,1398000,211,9
"NORFOLK",241127,10336,201504,885000,272,12
